1734
0.000216 1.721777 5.081985  0.000216 1.807331 5.221817  -0.070312 1.817703 5.226985
0.000216 1.807331 5.221817  0.000216 1.921709 5.276728  -0.070312 1.817703 5.226985
0.000216 1.921709 5.276728  -0.046205 1.932082 5.270524  -0.070312 1.817703 5.226985
-0.046205 1.932082 5.270524  -0.080868 1.932082 5.217737  -0.070312 1.817703 5.226985
-0.070312 1.817703 5.226985  -0.080868 1.932082 5.217737  -0.113829 1.827493 5.146673
-0.257284 2.386751 4.931212  -0.229888 2.166449 5.001308  -0.223769 2.324174 5.084939
-0.223769 2.324174 5.084939  -0.229888 2.166449 5.001308  -0.229509 2.254944 5.156030
-0.229888 2.166449 5.001308  -0.225014 2.048502 5.058178  -0.229509 2.254944 5.156030
-0.229509 2.254944 5.156030  -0.225014 2.048502 5.058178  -0.190899 2.152668 5.221105
-0.225014 2.048502 5.058178  -0.117024 2.019308 5.207587  -0.190899 2.152668 5.221105
-0.190899 2.152668 5.221105  -0.117024 2.019308 5.207587  -0.087646 2.049632 5.344594
-0.117024 2.019308 5.207587  -0.061464 1.938130 5.308277  -0.087646 2.049632 5.344594
-0.087646 2.049632 5.344594  -0.061464 1.938130 5.308277  -0.025997 1.907879 5.341280
-0.374359 2.385509 4.452736  -0.313870 2.453885 4.563798  -0.305792 2.495803 4.396416
-0.305792 2.495803 4.396416  -0.313870 2.453885 4.563798  -0.265270 2.528723 4.691430
-0.313870 2.453885 4.563798  -0.278109 2.407676 4.774528  -0.265270 2.528723 4.691430
-0.265270 2.528723 4.691430  -0.278109 2.407676 4.774528  -0.231579 2.498359 4.834230
-0.278109 2.407676 4.774528  -0.257284 2.386751 4.931212  -0.231579 2.498359 4.834230
-0.231579 2.498359 4.834230  -0.257284 2.386751 4.931212  -0.138041 2.503839 5.008495
-0.257284 2.386751 4.931212  -0.223769 2.324174 5.084939  -0.138041 2.503839 5.008495
-0.138041 2.503839 5.008495  -0.223769 2.324174 5.084939  -0.128222 2.454121 5.134353
-0.223769 2.324174 5.084939  -0.229509 2.254944 5.156030  -0.128222 2.454121 5.134353
-0.128222 2.454121 5.134353  -0.229509 2.254944 5.156030  -0.138716 2.293192 5.316679
-0.229509 2.254944 5.156030  -0.190899 2.152668 5.221105  -0.138716 2.293192 5.316679
-0.138716 2.293192 5.316679  -0.190899 2.152668 5.221105  -0.110847 2.181668 5.364762
-0.190899 2.152668 5.221105  -0.087646 2.049632 5.344594  -0.110847 2.181668 5.364762
-0.110847 2.181668 5.364762  -0.087646 2.049632 5.344594  -0.040602 2.063151 5.429403
-0.087646 2.049632 5.344594  -0.025997 1.907879 5.341280  -0.040602 2.063151 5.429403
-0.025997 1.907879 5.341280  0.000216 1.906981 5.343584  -0.040602 2.063151 5.429403
0.000216 1.906981 5.343584  0.000216 2.066188 5.431684  -0.040602 2.063151 5.429403
0.000216 2.066188 5.431684  0.000216 2.171295 5.416064  -0.040602 2.063151 5.429403
-0.040602 2.063151 5.429403  -0.042161 2.181668 5.406664  -0.110847 2.181668 5.364762
-0.110847 2.181668 5.364762  -0.042161 2.181668 5.406664  -0.138716 2.293192 5.316679
-0.138716 2.293192 5.316679  -0.083169 2.413637 5.225141  -0.128222 2.454121 5.134353
-0.083169 2.413637 5.225141  -0.076280 2.454953 5.200140  -0.128222 2.454121 5.134353
-0.040602 2.063151 5.429403  0.000216 2.171295 5.416064  -0.042161 2.181668 5.406664
0.000216 2.171295 5.416064  -0.044174 2.284885 5.382277  -0.042161 2.181668 5.406664
-0.042161 2.181668 5.406664  -0.044174 2.284885 5.382277  -0.138716 2.293192 5.316679
-0.044174 2.284885 5.382277  -0.036498 2.406252 5.260067  -0.138716 2.293192 5.316679
-0.138716 2.293192 5.316679  -0.036498 2.406252 5.260067  -0.083169 2.413637 5.225141
-0.036498 2.406252 5.260067  -0.046853 2.454953 5.234963  -0.083169 2.413637 5.225141
-0.083169 2.413637 5.225141  -0.046853 2.454953 5.234963  -0.076280 2.454953 5.200140
-0.046853 2.454953 5.234963  0.000216 2.549486 5.375242  -0.076280 2.454953 5.200140
-0.076280 2.454953 5.200140  0.000216 2.549486 5.375242  -0.058130 2.553415 5.342342
0.000216 2.549486 5.375242  0.000216 2.671399 5.438823  -0.058130 2.553415 5.342342
-0.058130 2.553415 5.342342  0.000216 2.671399 5.438823  -0.029181 2.673683 5.420012
0.000216 2.671399 5.438823  0.000216 2.764720 5.437848  -0.029181 2.673683 5.420012
-0.029181 2.673683 5.420012  0.000216 2.764720 5.437848  -0.050065 2.689161 5.384398
0.000216 2.764720 5.437848  -0.048962 2.701016 5.346595  -0.050065 2.689161 5.384398
-0.050065 2.689161 5.384398  -0.048962 2.701016 5.346595  -0.101818 2.625573 5.198061
-0.048962 2.701016 5.346595  -0.061544 2.639620 5.188781  -0.101818 2.625573 5.198061
-0.101818 2.625573 5.198061  -0.061544 2.639620 5.188781  -0.073962 2.586014 4.998486
-0.061544 2.639620 5.188781  0.000216 2.583369 4.998837  -0.073962 2.586014 4.998486
0.000216 2.171295 5.416064  0.000216 2.282605 5.388559  -0.044174 2.284885 5.382277
0.000216 2.282605 5.388559  0.000216 2.403265 5.254900  -0.044174 2.284885 5.382277
-0.044174 2.284885 5.382277  0.000216 2.403265 5.254900  -0.036498 2.406252 5.260067
-0.036498 2.406252 5.260067  0.000216 2.403265 5.254900  -0.046853 2.454953 5.234963
0.000216 2.403265 5.254900  0.000216 2.444581 5.229795  -0.046853 2.454953 5.234963
-0.046853 2.454953 5.234963  0.000216 2.444581 5.229795  0.000216 2.549486 5.375242
0.000216 2.583369 4.998837  -0.061544 2.639620 5.188781  0.000216 2.637615 5.189047
0.000216 2.637615 5.189047  -0.061544 2.639620 5.188781  -0.033696 2.710474 5.336210
-0.061544 2.639620 5.188781  -0.048962 2.701016 5.346595  -0.033696 2.710474 5.336210
-0.048962 2.701016 5.346595  0.000216 2.764720 5.437848  -0.033696 2.710474 5.336210
0.000216 2.764720 5.437848  -0.000762 2.709309 5.336365  -0.033696 2.710474 5.336210
-0.033696 2.710474 5.336210  -0.000762 2.709309 5.336365  0.000216 2.637615 5.189047
0.000216 2.583369 4.998837  0.000216 2.561526 4.735710  -0.073962 2.586014 4.998486
-0.073962 2.586014 4.998486  0.000216 2.561526 4.735710  -0.082242 2.562409 4.740877
0.000216 2.561526 4.735710  -0.148015 2.696848 4.468478  -0.082242 2.562409 4.740877
-0.082242 2.562409 4.740877  -0.148015 2.696848 4.468478  -0.164205 2.553279 4.738360
-0.148015 2.696848 4.468478  -0.277736 2.696848 4.428616  -0.164205 2.553279 4.738360
-0.277736 2.696848 4.428616  -0.265270 2.528723 4.691430  -0.164205 2.553279 4.738360
-0.265270 2.528723 4.691430  -0.231579 2.498359 4.834230  -0.164205 2.553279 4.738360
-0.164205 2.553279 4.738360  -0.231579 2.498359 4.834230  -0.127474 2.550201 5.028008
-0.231579 2.498359 4.834230  -0.138041 2.503839 5.008495  -0.127474 2.550201 5.028008
-0.138041 2.503839 5.008495  -0.128222 2.454121 5.134353  -0.127474 2.550201 5.028008
-0.127474 2.550201 5.028008  -0.128222 2.454121 5.134353  -0.136262 2.508860 5.157387
-0.128222 2.454121 5.134353  -0.076280 2.454953 5.200140  -0.136262 2.508860 5.157387
-0.076280 2.454953 5.200140  -0.058130 2.553415 5.342342  -0.136262 2.508860 5.157387
-0.136262 2.508860 5.157387  -0.058130 2.553415 5.342342  -0.104148 2.581988 5.283494
-0.058130 2.553415 5.342342  -0.029181 2.673683 5.420012  -0.104148 2.581988 5.283494
-0.029181 2.673683 5.420012  -0.050065 2.689161 5.384398  -0.104148 2.581988 5.283494
-0.050065 2.689161 5.384398  -0.101818 2.625573 5.198061  -0.104148 2.581988 5.283494
-0.104148 2.581988 5.283494  -0.101818 2.625573 5.198061  -0.127474 2.550201 5.028008
-0.101818 2.625573 5.198061  -0.073962 2.586014 4.998486  -0.127474 2.550201 5.028008
-0.127474 2.550201 5.028008  -0.073962 2.586014 4.998486  -0.164205 2.553279 4.738360
-0.073962 2.586014 4.998486  -0.082242 2.562409 4.740877  -0.164205 2.553279 4.738360
-0.127474 2.550201 5.028008  -0.136262 2.508860 5.157387  -0.104148 2.581988 5.283494
0.000216 2.869840 4.261858  -0.148015 2.696848 4.468478  0.000216 2.686475 4.463310
0.000216 2.686475 4.463310  -0.148015 2.696848 4.468478  0.000216 2.561526 4.735710
-0.432665 3.758547 2.985921  0.000216 3.838904 2.965598  -0.525611 4.220489 2.798064
0.000216 3.838904 2.965598  0.000216 4.218850 2.793957  -0.525611 4.220489 2.798064
0.000216 4.218850 2.793957  -0.593113 4.313465 2.752621  -0.525611 4.220489 2.798064
-0.525611 4.220489 2.798064  -0.593113 4.313465 2.752621  -1.188726 3.894557 2.612711
-0.593113 4.313465 2.752621  -1.317805 3.964580 2.550080  -1.188726 3.894557 2.612711
-1.317805 3.964580 2.550080  -1.462272 3.206074 2.514240  -1.188726 3.894557 2.612711
-1.188726 3.894557 2.612711  -1.462272 3.206074 2.514240  -1.358780 3.203876 2.563116
-1.462272 3.206074 2.514240  -1.167922 2.722329 2.736225  -1.358780 3.203876 2.563116
-1.358780 3.203876 2.563116  -1.167922 2.722329 2.736225  -0.815320 3.505157 2.817350
-1.167922 2.722329 2.736225  -0.671265 3.217744 3.255896  -0.815320 3.505157 2.817350
-0.815320 3.505157 2.817350  -0.671265 3.217744 3.255896  -0.352996 3.479468 3.319920
-0.671265 3.217744 3.255896  -0.306519 3.168897 3.870872  -0.352996 3.479468 3.319920
-0.352996 3.479468 3.319920  -0.306519 3.168897 3.870872  0.000216 3.300302 3.655396
-0.306519 3.168897 3.870872  -0.195512 3.056410 4.038448  0.000216 3.300302 3.655396
-0.195512 3.056410 4.038448  -0.218394 2.857950 4.239714  0.000216 3.300302 3.655396
0.000216 3.300302 3.655396  -0.218394 2.857950 4.239714  0.000216 3.002813 4.098460
0.000216 3.002813 4.098460  -0.218394 2.857950 4.239714  0.000216 2.869840 4.261858
-0.218394 2.857950 4.239714  -0.195304 2.847476 4.267025  0.000216 2.869840 4.261858
-1.358780 3.203876 2.563116  -0.815320 3.505157 2.817350  -1.188726 3.894557 2.612711
-1.188726 3.894557 2.612711  -0.815320 3.505157 2.817350  -0.525611 4.220489 2.798064
-0.525611 4.220489 2.798064  -0.815320 3.505157 2.817350  -0.432665 3.758547 2.985921
-0.815320 3.505157 2.817350  -0.352996 3.479468 3.319920  -0.432665 3.758547 2.985921
-0.432665 3.758547 2.985921  -0.352996 3.479468 3.319920  0.000216 3.838904 2.965598
0.000216 3.838904 2.965598  -0.352996 3.479468 3.319920  0.000216 3.482872 3.312241
-0.352996 3.479468 3.319920  0.000216 3.300302 3.655396  0.000216 3.482872 3.312241
-1.088299 0.002876 2.687286  -1.148163 0.003749 2.335413  -0.812683 0.002877 2.795953
-0.812683 0.002877 2.795953  -1.148163 0.003749 2.335413  -0.506069 -0.000886 2.660169
-0.506069 -0.000886 2.660169  -1.148163 0.003749 2.335413  -0.499693 -0.000014 2.343901
-0.499693 -0.000014 2.343901  -1.148163 0.003749 2.335413  -0.754829 0.089041 2.090552
-1.148163 0.003749 2.335413  -0.992859 0.089041 2.090552  -0.754829 0.089041 2.090552
-0.191424 1.952506 5.015939  -0.113829 1.827493 5.146673  -0.080868 1.932082 5.217737
-0.754829 0.089041 2.090552  -0.754829 0.142635 2.061210  -0.499693 -0.000014 2.343901
-0.499693 -0.000014 2.343901  -0.754829 0.142635 2.061210  -0.499692 0.053579 2.324682
-0.754829 0.142635 2.061210  -0.766716 0.393277 2.025059  -0.499692 0.053579 2.324682
-0.499692 0.053579 2.324682  -0.766716 0.393277 2.025059  -0.621073 0.386184 2.229942
-0.766716 0.393277 2.025059  -0.751401 0.493294 1.952411  -0.621073 0.386184 2.229942
-0.621073 0.386184 2.229942  -0.751401 0.493294 1.952411  -0.619888 0.499928 2.203010
-0.619888 0.499928 2.203010  -0.751401 0.493294 1.952411  -0.576773 0.771970 2.047674
-0.751401 0.493294 1.952411  -0.736060 0.681685 1.805645  -0.576773 0.771970 2.047674
-0.506069 -0.000886 2.660169  -0.499693 -0.000014 2.343901  -0.499692 0.053579 2.324682
-0.857653 0.875507 2.437537  -0.845069 0.457094 2.496854  -0.612999 0.857909 2.329201
-0.845069 0.457094 2.496854  -0.661574 0.475781 2.430750  -0.612999 0.857909 2.329201
-0.612999 0.857909 2.329201  -0.661574 0.475781 2.430750  -0.576773 0.771970 2.047674
-0.576773 0.771970 2.047674  -0.661574 0.475781 2.430750  -0.619888 0.499928 2.203010
-0.661574 0.475781 2.430750  -0.662760 0.385312 2.463221  -0.619888 0.499928 2.203010
-0.619888 0.499928 2.203010  -0.662760 0.385312 2.463221  -0.621073 0.386184 2.229942
-0.662760 0.385312 2.463221  -0.563576 0.165877 2.549802  -0.621073 0.386184 2.229942
-0.621073 0.386184 2.229942  -0.563576 0.165877 2.549802  -0.499692 0.053579 2.324682
-0.563576 0.165877 2.549802  -0.506069 0.109105 2.668349  -0.499692 0.053579 2.324682
-0.499692 0.053579 2.324682  -0.506069 0.109105 2.668349  -0.506069 -0.000886 2.660169
-0.506069 0.109105 2.668349  -0.812683 0.112868 2.841541  -0.506069 -0.000886 2.660169
-0.506069 -0.000886 2.660169  -0.812683 0.112868 2.841541  -0.812683 0.002877 2.795953
-0.661574 0.475781 2.430750  -0.845069 0.457094 2.496854  -0.662760 0.385312 2.463221
-0.845069 0.457094 2.496854  -0.860383 0.389075 2.558848  -0.662760 0.385312 2.463221
-0.860383 0.389075 2.558848  -0.648061 0.213781 2.622224  -0.662760 0.385312 2.463221
-0.662760 0.385312 2.463221  -0.648061 0.213781 2.622224  -0.563576 0.165877 2.549802
-0.563576 0.165877 2.549802  -0.648061 0.213781 2.622224  -0.506069 0.109105 2.668349
-0.506069 0.109105 2.668349  -0.648061 0.213781 2.622224  -0.812683 0.112868 2.841541
-0.648061 0.213781 2.622224  -0.826632 0.231726 2.670875  -0.812683 0.112868 2.841541
-0.826632 0.231726 2.670875  -0.648061 0.213781 2.622224  -0.860383 0.389075 2.558848
-0.812683 0.002877 2.795953  -0.812683 0.112868 2.841541  -1.088299 0.002876 2.687286
-1.088299 0.002876 2.687286  -0.812683 0.112868 2.841541  -1.088299 0.112868 2.695466
-0.812683 0.112868 2.841541  -0.930469 0.211607 2.617271  -1.088299 0.112868 2.695466
-1.088299 0.112868 2.695466  -0.930469 0.211607 2.617271  -1.037466 0.191476 2.532104
-0.930469 0.211607 2.617271  -1.029169 0.389075 2.463221  -1.037466 0.191476 2.532104
-1.037466 0.191476 2.532104  -1.029169 0.389075 2.463221  -1.070856 0.389947 2.229942
-1.029169 0.389075 2.463221  -0.999233 0.479543 2.422102  -1.070856 0.389947 2.229942
-1.070856 0.389947 2.229942  -0.999233 0.479543 2.422102  -1.040920 0.503690 2.203010
-0.999233 0.479543 2.422102  -1.049677 0.845147 2.378111  -1.040920 0.503690 2.203010
-1.049677 0.845147 2.378111  -1.078564 0.775733 2.047674  -1.040920 0.503690 2.203010
-1.078564 0.775733 2.047674  -0.954489 0.681684 1.805645  -1.040920 0.503690 2.203010
-1.040920 0.503690 2.203010  -0.954489 0.681684 1.805645  -0.938739 0.493294 1.952411
-0.954489 0.681684 1.805645  -0.751401 0.493294 1.952411  -0.938739 0.493294 1.952411
-0.938739 0.493294 1.952411  -0.751401 0.493294 1.952411  -0.954054 0.393277 2.025059
-0.751401 0.493294 1.952411  -0.766716 0.393277 2.025059  -0.954054 0.393277 2.025059
-0.766716 0.393277 2.025059  -0.754829 0.142635 2.061210  -0.954054 0.393277 2.025059
-0.954054 0.393277 2.025059  -0.754829 0.142635 2.061210  -0.992859 0.142635 2.061210
-0.754829 0.142635 2.061210  -0.992859 0.089041 2.090552  -0.992859 0.142635 2.061210
-0.754829 0.089041 2.090552  -0.992859 0.089041 2.090552  -0.754829 0.142635 2.061210
-0.751401 0.493294 1.952411  -0.954489 0.681684 1.805645  -0.736060 0.681685 1.805645
-0.992859 0.142635 2.061210  -0.992859 0.089041 2.090552  -1.141266 0.057342 2.324682
-0.992859 0.089041 2.090552  -1.148163 0.003749 2.335413  -1.141266 0.057342 2.324682
-1.148163 0.003749 2.335413  -1.088299 0.002876 2.687286  -1.141266 0.057342 2.324682
-1.088299 0.002876 2.687286  -1.088299 0.112868 2.695466  -1.141266 0.057342 2.324682
-1.088299 0.112868 2.695466  -1.037466 0.191476 2.532104  -1.141266 0.057342 2.324682
-1.037466 0.191476 2.532104  -1.070856 0.389947 2.229942  -1.141266 0.057342 2.324682
-1.141266 0.057342 2.324682  -1.070856 0.389947 2.229942  -0.992859 0.142635 2.061210
-0.992859 0.142635 2.061210  -1.070856 0.389947 2.229942  -0.954054 0.393277 2.025059
-1.070856 0.389947 2.229942  -1.040920 0.503690 2.203010  -0.954054 0.393277 2.025059
-0.954054 0.393277 2.025059  -1.040920 0.503690 2.203010  -0.938739 0.493294 1.952411
0.993290 0.089040 2.090552  1.148594 0.003748 2.335413  0.755260 0.089041 2.090552
0.755260 0.089041 2.090552  1.148594 0.003748 2.335413  0.500124 -0.000015 2.343901
0.500124 -0.000015 2.343901  1.148594 0.003748 2.335413  0.506500 -0.000886 2.660169
0.506500 -0.000886 2.660169  1.148594 0.003748 2.335413  0.813115 0.002876 2.795953
1.148594 0.003748 2.335413  1.088731 0.002876 2.687286  0.813115 0.002876 2.795953
0.582129 1.465927 -0.205900  0.861658 1.721069 -0.501522  0.714750 1.484472 -0.006597
0.396687 1.176582 0.549259  0.582129 1.465927 -0.205900  0.698936 1.274753 0.548107
0.684255 1.588165 2.684017  0.782324 1.721857 2.688068  0.756064 1.766712 2.962480
0.782324 1.721857 2.688068  0.828922 1.932071 2.747235  0.756064 1.766712 2.962480
0.756064 1.766712 2.962480  0.828922 1.932071 2.747235  0.812703 2.155905 2.962480
0.828922 1.932071 2.747235  0.845778 2.216758 2.703449  0.812703 2.155905 2.962480
0.812703 2.155905 2.962480  0.845778 2.216758 2.703449  0.775633 2.614106 2.927788
0.845778 2.216758 2.703449  0.875281 2.490739 2.636325  0.775633 2.614106 2.927788
0.775633 2.614106 2.927788  0.875281 2.490739 2.636325  0.883408 2.729801 2.321808
0.875281 2.490739 2.636325  0.993130 2.447523 2.502337  0.883408 2.729801 2.321808
